NAME	TITLE	SCORE	
SEC14L1	na	0.6038081	
MME	na	0.6023515	
ZWINT	na	0.6015914	
SERPINB3	na	0.60134697	
DSTN	na	0.6005282	
CCNA2	na	0.5980742	
GZMA	na	0.59556246	
RAG2	na	0.59475696	
LRRC32	na	0.59279525	
SPA17	na	0.591171	
C6orf145	na	0.59066737	
SPRED2	na	0.5892159	
FIGF	na	0.58590156	
ABCC4	na	0.5815969	
MELK	na	0.58148044	
ARHGEF17	na	0.58051014	
COL18A1	na	0.58028066	
HOXA5	na	0.57683015	
FCN1	na	0.5754393	
IGF2BP3	na	0.57414407	
DOCK1	na	0.5721136	
SAC3D1	na	0.57210815	
N4BP3	na	0.5720848	
PLS1	na	0.5715797	
WNT5A	na	0.5710909	
CACNB3	na	0.5702316	
LHFPL2	na	0.56811064	
ETS2	na	0.5674603	
VNN2	na	0.5669671	
ADM	na	0.56598884	
GTSE1	na	0.5657882	
SHMT1	na	0.5638422	
SPAG5	na	0.56149596	
CAMP	na	0.56051993	
RBFOX2	na	0.5605195	
WHSC1	na	0.5549267	
GADD45A	na	0.55450743	
HOXA1	na	0.5545034	
CREG1	na	0.55415255	
CRHBP	na	0.5501222	
HIST1H2AH	na	0.54937816	
EFNB2	na	0.54826677	
PKP4	na	0.5474072	
RAD51AP1	na	0.5469874	
TK1	na	0.5454874	
S100A7	na	0.5425579	
PPP3R1	na	0.54218787	
CDK5	na	0.5399714	
FKBP1B	na	0.53985494	
TTC28	na	0.5384626	
RSAD2	na	0.53836745	
MPP6	na	0.53766596	
RCBTB2	na	0.536644	
RAD54L	na	0.53662664	
TRIP13	na	0.535891	
ADA	na	0.5345996	
MGLL	na	0.53411394	
RNASE3	na	0.53338355	
EZH2	na	0.5332288	
COQ7	na	0.53304535	
AURKB	na	0.5325939	
TBC1D8	na	0.5280559	
CDR2	na	0.5276952	
TNFRSF11B	na	0.5265943	
WASF1	na	0.5264662	
FKBP5	na	0.52537376	
DLGAP5	na	0.5251435	
MPZL1	na	0.5204851	
EPCAM	na	0.52010816	
COL3A1	na	0.519147	
RNFT2	na	0.5189327	
CDC42	na	0.5181031	
TMPRSS15	na	0.5172952	
MYO10	na	0.51696944	
SPP1	na	0.5156086	
ARHGAP11A	na	0.5155487	
GJA4	na	0.5151687	
TYMS	na	0.51450056	
STMN1	na	0.5137981	
MSR1	na	0.51321983	
ENO2	na	0.5108962	
KPNA2	na	0.51014155	
LAMA3	na	0.50984377	
IL2RB	na	0.50739485	
NPTX2	na	0.5046267	
SLC16A6	na	0.50444	
LRP8	na	0.50276756	
GNLY	na	0.5018138	
KCNK1	na	0.5010026	
UBE2S	na	0.500268	
IL1R2	na	0.49996036	
KIAA0101	na	0.49911544	
PTPRM	na	0.49908534	
GSTZ1	na	0.4983633	
COL5A2	na	0.49804482	
SNTB2	na	0.497323	
PAX1	na	0.49719268	
HTR3A	na	0.49685913	
MPHOSPH9	na	0.49647197	
C5	na	0.49517855	
NET1	na	0.49344376	
CTNNA2	na	0.49283308	
CEBPD	na	0.4906856	
ITK	na	0.49036303	
BRCA2	na	0.48992348	
DPYSL2	na	0.48846892	
MYO1D	na	0.48539174	
METAP2	na	0.48510334	
PSPH	na	0.4826176	
EYA1	na	0.48117363	
RAD17	na	0.47918648	
SOX5	na	0.47908664	
S100A10	na	0.4787582	
GTF2H4	na	0.47750026	
COL4A3	na	0.47741643	
INVS	na	0.47452092	
SRR	na	0.47448367	
EXT1	na	0.4741708	
CDT1	na	0.47385293	
NUCB2	na	0.4724721	
GRM4	na	0.47170472	
QPCT	na	0.47056708	
CASP5	na	0.46962178	
MT1X	na	0.46942347	
CPM	na	0.4680631	
ATP9A	na	0.46790096	
ACOT7	na	0.4678617	
TGFBR3	na	0.46585977	
RASGRP1	na	0.4657893	
SECTM1	na	0.46525386	
UTY	na	0.46432784	
TRIOBP	na	0.46190795	
SLC16A1	na	0.46185687	
BCAR3	na	0.46123415	
CAV1	na	0.46101052	
H2AFX	na	0.46089104	
LGALS3	na	0.46053424	
SERHL2	na	0.45988858	
GSN	na	0.45984182	
CDC25B	na	0.45933402	
HGF	na	0.4590298	
TLR2	na	0.4583439	
FBXL7	na	0.45778403	
