NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_HISTIDINE_METABOLISM	29		Rejected!	
KEGG_HOMOLOGOUS_RECOMBINATION	28	16		
KEGG_HUNTINGTONS_DISEASE	182	110		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	39		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	36		
KEGG_INSULIN_SIGNALING_PATHWAY	137	91		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	28		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	77		
KEGG_LEISHMANIA_INFECTION	72	55		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	78		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_LINOLEIC_ACID_METABOLISM	29		Rejected!	
KEGG_LONG_TERM_DEPRESSION	70	37		
KEGG_LONG_TERM_POTENTIATION	70	46		
KEGG_LYSINE_DEGRADATION	44	24		
KEGG_LYSOSOME	121	83		
KEGG_MAPK_SIGNALING_PATHWAY	267	162		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
KEGG_MELANOGENESIS	101	55		
KEGG_MELANOMA	71	42		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	26		
KEGG_MISMATCH_REPAIR	23	20		
KEGG_MTOR_SIGNALING_PATHWAY	52	34		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	77		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	61		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	91		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24		Rejected!	
KEGG_NITROGEN_METABOLISM	23		Rejected!	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	45		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	39		
KEGG_NOTCH_SIGNALING_PATHWAY	47	25		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	38		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	23		
KEGG_OLFACTORY_TRANSDUCTION	389	17		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17		Rejected!	
KEGG_OOCYTE_MEIOSIS	113	73		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_OXIDATIVE_PHOSPHORYLATION	132	67		
KEGG_O_GLYCAN_BIOSYNTHESIS	30		Rejected!	
KEGG_P53_SIGNALING_PATHWAY	68	46		
KEGG_PANCREATIC_CANCER	70	53		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16		Rejected!	
KEGG_PARKINSONS_DISEASE	130	71		
