NAME	TITLE	SCORE	
SPA17	na	0.6044513	
ACTN1	na	0.60360307	
TNFSF11	na	0.6035967	
NET1	na	0.6025882	
METAP2	na	0.6020887	
GSTZ1	na	0.5973615	
BCAT1	na	0.59667623	
BRCA1	na	0.59631276	
RCBTB2	na	0.5959417	
ANKRD26	na	0.5956935	
KIFC1	na	0.5944467	
SHANK2	na	0.5933818	
PRUNE2	na	0.59179795	
B4GALT5	na	0.5883288	
DKK1	na	0.5862398	
SOX5	na	0.5847956	
LEPR	na	0.5847843	
MYB	na	0.58450896	
FKBP1B	na	0.58292925	
F2R	na	0.58202165	
PCBD1	na	0.58190465	
CCNA2	na	0.5817862	
EFNB2	na	0.58080006	
COQ7	na	0.57819134	
PKMYT1	na	0.5769023	
MET	na	0.5759825	
FBXL7	na	0.5747504	
ICOS	na	0.5745461	
PFN2	na	0.57449645	
GJA1	na	0.5724908	
PYGL	na	0.5718353	
IGF2BP3	na	0.5715041	
DLGAP5	na	0.57128084	
LHFPL2	na	0.5712617	
CBS	na	0.57095146	
KBTBD11	na	0.5704275	
HTR3A	na	0.57036847	
TTC28	na	0.5697713	
TRIP13	na	0.56905204	
PDIA2	na	0.56718147	
EFEMP1	na	0.56599706	
SPINK2	na	0.5641317	
RAD54L	na	0.5639317	
BMPR1A	na	0.5613706	
TK1	na	0.561089	
ESPL1	na	0.5607739	
MEST	na	0.5585477	
LEF1	na	0.5580576	
EPHX2	na	0.5579103	
APBB2	na	0.55785286	
KCNK1	na	0.5546962	
PTHLH	na	0.5537479	
POLD1	na	0.5535788	
STARD13	na	0.551236	
DSTN	na	0.55027574	
ST8SIA1	na	0.5502154	
LGALS1	na	0.548821	
CD9	na	0.54692304	
HOXA5	na	0.5438422	
DOCK9	na	0.542337	
SPAG5	na	0.5417369	
ADA	na	0.5391884	
CDC20	na	0.5376063	
TYMS	na	0.5372843	
PAQR4	na	0.536768	
ADAM9	na	0.53563964	
GZMK	na	0.5352422	
STMN1	na	0.534501	
C6orf145	na	0.5340861	
HOXB7	na	0.5314716	
MPHOSPH9	na	0.5295317	
C5	na	0.52588826	
AURKB	na	0.52548677	
TERF2	na	0.52439064	
IL2RB	na	0.52414155	
CTDSPL	na	0.5237871	
RNFT2	na	0.5198855	
SLC16A6	na	0.517693	
WHSC1	na	0.5174197	
GTSE1	na	0.51676285	
MAST4	na	0.5163779	
EXT1	na	0.51634014	
RAP2A	na	0.515459	
BRCA2	na	0.51542616	
TMPO	na	0.5146671	
COL9A3	na	0.511853	
MSR1	na	0.51114124	
INVS	na	0.5110014	
ARHGAP11A	na	0.5102107	
GZMB	na	0.50948906	
EZH2	na	0.50944304	
C11orf49	na	0.50869256	
SAC3D1	na	0.50750506	
SH2D1A	na	0.5070278	
ENO2	na	0.50674176	
STK39	na	0.50614876	
KIAA0101	na	0.5047574	
TMEM158	na	0.50442094	
PTPRG	na	0.50393754	
PSPH	na	0.5027148	
SKP2	na	0.5021231	
MAPK12	na	0.50179255	
FZD7	na	0.5014053	
AHR	na	0.50117874	
KPNA2	na	0.5011759	
AP4M1	na	0.5010774	
CPM	na	0.50038505	
PRKCQ	na	0.49825296	
RAD17	na	0.4980057	
CDC42	na	0.49783126	
RLN2	na	0.49768734	
DST	na	0.49663746	
TST	na	0.49644223	
HIST1H3I	na	0.49641338	
NCAPD2	na	0.49476084	
DPYSL2	na	0.4939221	
HSPB2	na	0.49376765	
CDK5	na	0.49161255	
IGJ	na	0.49108064	
CTBP2	na	0.4875885	
ST7	na	0.4858688	
CLIC5	na	0.48503676	
TUBB2B	na	0.48461792	
SSBP2	na	0.48384768	
PDZRN3	na	0.48378783	
CTSE	na	0.48327512	
CDT1	na	0.48324442	
GREB1	na	0.48285332	
ITGA6	na	0.48136216	
VAMP1	na	0.48019025	
XIAP	na	0.47995463	
SAP30	na	0.4799338	
BCAR3	na	0.47971708	
UPP1	na	0.47844866	
HS2ST1	na	0.47810477	
S100A10	na	0.47802627	
IL10	na	0.47787204	
ELP4	na	0.47652036	
TTF2	na	0.4760197	
ALDH2	na	0.47575337	
SGMS1	na	0.47505495	
ZNF35	na	0.47493222	
QPCT	na	0.47461772	
MATN2	na	0.474146	
NDN	na	0.47388884	
SNTB2	na	0.4727816	
TRIOBP	na	0.46952942	
C9orf3	na	0.46828786	
PDE4D	na	0.4678334	
EYA2	na	0.46558324	
PASK	na	0.46548226	
PPAT	na	0.4652683	
ASMT	na	0.46437493	
MYBL2	na	0.46430835	
IL2RA	na	0.4642927	
WEE1	na	0.46253166	
N4BP3	na	0.46230698	
MAOA	na	0.4621973	
RIMS2	na	0.4615427	
PTAFR	na	0.46072596	
KLF12	na	0.45921376	
C1S	na	0.45879644	
C18orf10	na	0.4576908	
FRMD4B	na	0.4569558	
SCARB1	na	0.45672604	
RFC3	na	0.45632645	
NINL	na	0.45550194	
ODF2	na	0.45389593	
HOPX	na	0.45269236	
ESM1	na	0.45204413	
MED8	na	0.4517351	
NLGN4Y	na	0.4499988	
RAMP1	na	0.448236	
LMO2	na	0.44816846	
CDR2	na	0.44766057	
ZNF205	na	0.44719425	
GPRC5B	na	0.44557226	
EYA1	na	0.4455399	
CKS2	na	0.44442257	
PKP3	na	0.44378728	
ASL	na	0.44275656	
S100A9	na	0.44117802	
CTNNA2	na	0.44102907	
ADIPOQ	na	0.44003898	
FAM114A1	na	0.43874013	
DOCK1	na	0.43836278	
PLS1	na	0.43726617	
GZMH	na	0.43711627	
HIP1	na	0.43649444	
CST7	na	0.43583977	
MFGE8	na	0.43535244	
RRM1	na	0.434629	
CLDN18	na	0.4334663	
MYO1E	na	0.43303752	
RBP1	na	0.43302312	
BCL7A	na	0.43296072	
ICAM4	na	0.43292874	
CD247	na	0.4299444	
SLBP	na	0.4297099	
FMO3	na	0.42944592	
MFHAS1	na	0.4287591	
NPTX1	na	0.42859566	
STC2	na	0.42814437	
KCNS3	na	0.427981	
WFS1	na	0.42710674	
SLC1A4	na	0.42628375	
PCDHGA12	na	0.42475793	
MCM7	na	0.4235682	
ITGA1	na	0.42340073	
TERT	na	0.42300522	
PSIP1	na	0.42205888	
FASLG	na	0.42095834	
APITD1	na	0.42062095	
UBE2H	na	0.42059377	
UBE2J1	na	0.41850328	
EFCAB11	na	0.4178404	
GSN	na	0.41705596	
BLVRA	na	0.4164611	
SLC25A17	na	0.41599447	
BCL6	na	0.41582984	
SCNN1D	na	0.41436905	
PLA2G4A	na	0.4137505	
TP53I3	na	0.41313696	
SMC2	na	0.41231418	
ETS2	na	0.41103005	
UBE2S	na	0.4105215	
MGST2	na	0.40745485	
RASGRF1	na	0.40710574	
ATF5	na	0.40692455	
FCN1	na	0.40690544	
MSH6	na	0.40622038	
ACOT7	na	0.40449223	
HMGB2	na	0.40388596	
GATA3	na	0.4035835	
H1F0	na	0.40319476	
ST14	na	0.4022881	
TSC1	na	0.40220374	
SAMHD1	na	0.40199816	
UBE2G1	na	0.40089107	
ZNF804A	na	0.39990854	
CHEK2	na	0.3995263	
IGFBP6	na	0.3981178	
GPER	na	0.39693707	
LAG3	na	0.39685908	
NR2F1	na	0.39642498	
EIF1AY	na	0.39638087	
ANP32E	na	0.3954682	
CTTN	na	0.39546242	
MYH10	na	0.3954324	
PTGER2	na	0.3941917	
C11orf41	na	0.39411688	
FAH	na	0.39396676	
LGALS3	na	0.3937352	
DNMT1	na	0.39365143	
PRDX3	na	0.39359954	
MCM6	na	0.39341897	
APOL1	na	0.39331952	
PRKCI	na	0.3932212	
SLC20A1	na	0.39196655	
LRIG1	na	0.39179924	
SNTA1	na	0.39117295	
MMACHC	na	0.3907567	
BGLAP	na	0.39069247	
UGT2B7	na	0.39057896	
PCNA	na	0.38946152	
H2AFX	na	0.38940212	
GLUL	na	0.38900632	
IDE	na	0.38884017	
ZCCHC24	na	0.38877708	
CCNF	na	0.38806704	
SMARCA4	na	0.38769138	
STAU2	na	0.3866904	
GNA13	na	0.38579947	
CKS1B	na	0.3842653	
GMDS	na	0.3838898	
CXCL13	na	0.3838548	
SYNM	na	0.38172093	
DLX5	na	0.3816123	
NCAPD3	na	0.38144672	
SNAI2	na	0.38109526	
PARM1	na	0.3805416	
RNASE2	na	0.37978074	
Gdr2	na	0.37804243	
PRDX2	na	0.3777969	
GZMA	na	0.37630612	
PDLIM3	na	0.3753997	
CD86	na	0.37479252	
BRWD1	na	0.37415692	
POLA2	na	0.37323	
TNFRSF17	na	0.37282586	
TUBB2C	na	0.37237012	
COL4A3	na	0.37186736	
PCNT	na	0.3717554	
MAB21L1	na	0.37164798	
SIAH2	na	0.37051252	
DNM1L	na	0.36930448	
MS4A3	na	0.36891928	
